CFGPdb_unigene	clones	libraries_specific	annotation	Arabidopsis_first_BLAST_hit_ID	Arabidopsis_first_BLAST_hit_description
aC18023F08Rv_c	C18023F08	yes	Invertase	AT5G22510	beta-fructofuranosidase, putative / invertase, putative / saccharase, putative / beta-fructosidase, putative, similar to neutral invertase (Daucus carota) GI:4200165; contains Pfam profile PF04853: Plant neutral invertase
aC18023G02Rv_c	C18023G02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18023G03Rv_c	C18023G03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18023G09Rv_c	C18023G09	yes	Putative receptor-like protein kinase	AT2G19130	S-locus lectin protein kinase family protein, contains Pfam domains PF00954: S-locus glycoprotein family, PF00069: Protein kinase domain and PF01453: Lectin (probable mannose binding)
aC18023H03Rv_c	C18023H03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18023H12Rv_c	C18023H12	yes	TATA box binding protein (TBP) associated factor (TAF)-like protein	AT3G54280	SNF2 domain-containing protein / helicase domain-containing protein, similar to SP:O14981 TBP-associated factor 172 (TAF-172) (TAF(II)170) {Homo sapiens}; contains PFam profiles PF00271: Helicase conserved C-terminal domain, PF00176: SNF2 family N-terminal domain
aC18024A01Rv_c	C18024A01	yes	Ribosomal protein L10, putative	AT1G25260	acidic ribosomal protein P0-related, contains similarity to 60S acidic ribosomal protein GI:5815233 from (Homo sapiens)
aC18024A08Rv_c	C18024A08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18024B01Rv_c	C18024B01	yes	Calcium-transporting ATPase 3, endoplasmic reticulum-type	AT1G10130	calcium-transporting ATPase 3, endoplasmic reticulum-type (ACA6) (ECA3), nearly identical to SP:Q9SY55 Calcium-transporting ATPase 3, endoplasmic reticulum-type (EC 3.6.3.8) {Arabidopsis thaliana); contains InterPro Accession IPR006069: Cation transporting ATPase
aC18024B04Rv_c	C18024B04	yes	Red chlorophyll catabolite reductase, chloroplast precursor	AT4G37000	accelerated cell death 2 (ACD2), identical to accelerated cell death 2 (ACD2) GI:12484129 from (Arabidopsis thaliana)
aC18024B08Rv_c	C18024B08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18024B09Rv_c	C18024B09	yes	OSJNBa0006B20.11 protein	AT1G49780	U-box domain-containing protein, similar to immediate-early fungal elicitor protein CMPG1 (Petroselinum crispum) GI:14582200; contains Pfam profile PF04564: U-box domain
aC18024C02Rv_c	C18024C02	yes	Arabidopsis thaliana genomic DNA, chromosome 5, TAC clone:K2A18	AT5G65950	expressed protein
aC18024C07Rv_c	C18024C07	yes	DNA binding protein	AT2G30590	WRKY family transcription factor
aC18024C08Rv_c	C18024C08	yes	UPI0000589029; PREDICTED: similar to armadillo repeat containing 7	AT5G37290	armadillo/beta-catenin repeat family protein, contains Pfam profile: PF00514 armadillo/beta-catenin-like repeat
aC18024C09Rv_c	C18024C09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18024C11Rv_c	C18024C11	yes	CA2561|CaCAR2 Candida albicans CaCAR2 ornithine aminotransferase	AT5G46180	ornithine aminotransferase, putative / ornithine--oxo-acid aminotransferase, putative, similar to SP:Q92413 Ornithine aminotransferase (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase) (Aspergillus nidulans) {Emericella nidulans}; contains Pfam profile PF00202: aminotransferase, class III
aC18024D03Rv_c	C18024D03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18024D04Rv_c	C18024D04	yes	RNA recognition motif (RRM)-containing protein-like	AT4G12640	RNA recognition motif (RRM)-containing protein, contains InterPro entry IPR000504: RNA-binding region RNP-1 (RNA recognition motif) (RRM)
aC18024D05Rv_c	C18024D05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18024D06Rv_c	C18024D06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18024D10Rv_c	C18024D10	yes	MGC81885 protein	AT1G76150	maoC-like dehydratase domain-containing protein, contains similarity to Swiss-Prot:P51659 estradiol 17 beta-dehydrogenase 4 (17-beta-HSD 4) (17-beta-hydroxysteroid dehydrogenase 4) (Homo sapiens); contains Pfam profile PF01575: MaoC like domain
aC18024E04Rv_c	C18024E04	yes	Phenylalanyl-tRNA synthetase	AT3G58140	phenylalanyl-tRNA synthetase class IIc family protein, similar to phenylalanine-tRNA synthetase (Homo sapiens) GI:3983103; contains Pfam profile PF01409: tRNA synthetases class II core domain (F)
aC18024E07Rv_c	C18024E07	yes	no_annotation_available	AT4G10960	UDP-glucose 4-epimerase, putative / UDP-galactose 4-epimerase, putative / Galactowaldenase, putative, similar to UDP-galactose 4-epimerase from Arabidopsis thaliana SP:Q42605, Cyamopsis tetragonoloba GI:3021357 (AJ005082)
aC18024E12Rv_c	C18024E12	yes	T6K12.3 protein	AT3G04350	expressed protein
aC18024F04Rv_c	C18024F04	yes	Anthranilate N-benzoyltransferase	AT5G48930	transferase family protein, similar to anthranilate N-hydroxycinnamoyl/benzoyltransferase from Dianthus caryophyllus (GI:3288180, GI:2239091); contains Pfam profile PF02458 transferase family
aC18024F08Rv_c	C18024F08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18024F09Rv_c	C18024F09	yes	Small nuclear ribonucleoprotein homolog	AT2G18740	small nuclear ribonucleoprotein E, putative / snRNP-E, putative / Sm protein E, putative, similar to SWISS-PROT:P08578 small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E, Sm-E, SmE) (Chicken)
aC18024G05Rv_c	C18024G05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18024G06Rv_c	C18024G06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18024G11Rv_c	C18024G11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18024G12Rv_c	C18024G12	yes	Trehalose 6-phosphate synthase	AT1G70290	trehalose-6-phosphate synthase, putative, similar to Alpha,alpha-trehalose-phosphate synthase (UDP-forming) (EC 2.4.1.15) (Trehalose-6-phosphate synthase) from {Kluyveromyces lactis} SP:Q07158, {Saccharomyces cerevisiae} SP:Q00764; contains Pfam profiles PF00982: Glycosyltransferase family 20, PF02358: Trehalose-phosphatase
aC18024H07Rv_c	C18024H07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025A06Rv_c	C18025A06	yes	Type IIB calcium ATPase	AT3G22910	calcium-transporting ATPase, plasma membrane-type, putative / Ca(2+)-ATPase, putative (ACA13), identical to SP:Q9LIK7 Potential calcium-transporting ATPase 13, plasma membrane-type (EC 3.6.3.8) (Ca(2+)-ATPase isoform 13) {Arabidopsis thaliana}; similar to SP:Q9LF79 Calcium-transporting ATPase 8, plasma membrane-type (EC 3.6.3.8) (Ca2+-ATPase, isoform 8) {Arabidopsis thaliana}; contains InterPro Accession IPR006069: Cation transporting ATPase Belongs to plant 2B ATPase##s with an N-terminal autoinhibitor.
aC18025A09Rv_c	C18025A09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025A11Rv_c	C18025A11	yes	Putative XAP-5 protein	AT2G21150	XAP5 family protein, contains Pfam profile: PF04921 XAP5 protein
aC18025A12Rv_c	C18025A12	yes	Gamma-glutamyl transferase	AT4G29210	gamma-glutamyltranspeptidase family protein, similar to SP:P07314 Gamma-glutamyltranspeptidase precursor (EC 2.3.2.2) (Gamma- glutamyltransferase) (GGT) {Rattus norvegicus}; contains Pfam profilePF01019: Gamma-glutamyltranspeptidase
aC18025B04Rv_c	C18025B04	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025B05Rv_c	C18025B05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025B06Rv_c	C18025B06	yes	YUP8H12R.13 protein	AT1G79270	ECT8 | expressed protein, contains Pfam profile PF04146: YT521-B-like family
aC18025B07Rv_c	C18025B07	yes	no_annotation_available	AT4G26430	COP9 signalosome subunit 6 / CSN subunit 6 (CSN6B), identical to COP9 signalosome subunit 6 (Arabidopsis thaliana) GI:17940314, CSN complex subunit 6B (Arabidopsis thaliana) GI:18056667; contains Pfam profile PF01398: Mov34/MPN/PAD-1 family; supporting cDNA gi:17940313:gb:AF434762.1:AF434762; identical to cDNA CSN complex subunit 6B (CSN6B) GI:18056666
aC18025B08Rv_c	C18025B08	yes	MYB transcription factor	AT3G24310	myb family transcription factor, similar to myb protein 305 GB:JQ0958 from (garden snapdragon) (Plant Cell (1991) 3 (2), 115-125);
aC18025B12Rv_c	C18025B12	yes	F8K7.18 protein	AT1G21740	expressed protein, contains Pfam domains, PF04782: Protein of unknown function (DUF632) and PF04783: Protein of unknown function (DUF630)
aC18025C05Rv_c	C18025C05	yes	F21B7.18	AT1G03560	pentatricopeptide (PPR) repeat-containing protein, contains Pfam profile PF01535: PPR repeat
aC18025C11Rv_c	C18025C11	yes	Methylesterase	AT3G50440	esterase, putative [Arabidopsis thaliana] (TAIR:At2g23620.1); similar to methyl jasmonate esterase [Solanum tuberosum] (GB:AAV87151.1); contains InterPro domain Esterase/lipase/thioesterase (InterPro:IPR000379); contains InterPro domain Alpha/beta hydrolase fold (InterPro:IPR000073)
aC18025D02Rv_c	C18025D02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025D04Rv_c	C18025D04	yes	Putative SKP1-like protein	AT3G61415	ASK21 | SKP1 family protein, low similarity to SP:P52285 Glycoprotein FP21 precursor {Dictyostelium discoideum}; contains Pfam profile PF01466: Skp1 family, dimerisation domain
aC18025D07Rv_c	C18025D07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025E03Rv_c	C18025E03	yes	T12C24.2	AT1G12470	Pep3/Vps18/deep orange family protein, contains Pfam profile PF05131: Pep3/Vps18/deep orange family; similar to Vacuolar protein sorting 18 (hVPS18) (SP:Q9P253) {Homo sapiens}
aC18025E07Rv_c	C18025E07	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025E11Rv_c	C18025E11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025E12Rv_c	C18025E12	yes	Glucosyltransferase NTGT4	AT2G36760	UDP-glucoronosyl/UDP-glucosyl transferase family protein, contains Pfam profile: PF00201 UDP-glucoronosyl and UDP-glucosyl transferase
aC18025F01Rv_c	C18025F01	yes	NBS-LRR type disease resistance protein	AT1G12280	disease resistance protein (CC-NBS-LRR class), putative, domain signature CC-NBS-LRR exists, suggestive of a disease resistance protein.
aC18025F02Rv_c	C18025F02	yes	Germin-like protein subfamily T member 2 precursor	AT1G18980	germin-like protein, putative, similar to germin-like protein subfamily T member 1 (SP:P92995); contains PS00725 germin family signature
aC18025F03Rv_c	C18025F03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025F05Rv_c	C18025F05	yes	Protein At4g33080	AT4G33080	protein kinase, putative, contains protein kinase domain, Pfam:PF00069
aC18025F09Rv_c	C18025F09	yes	expressed protein	AT1G73970	expressed protein
aC18025G02Rv_c	C18025G02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025G03Rv_c	C18025G03	yes	OSJNBa0017B10.7 protein	AT4G35560	expressed protein
aC18025G08Rv_c	C18025G08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025H02Rv_c	C18025H02	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025H03Rv_c	C18025H03	yes	Putative chorismate mutase	AT3G29200	chorismate mutase, chloroplast (CM1), identical to chorismate mutase GB:Z26519 (SP:P42738) (Arabidopsis thaliana)
aC18025H06Rv_c	C18025H06	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18025H08Rv_c	C18025H08	yes	4-alpha-glucanotransferase	AT2G40840	glycoside hydrolase family 77 protein, contains Pfam profiles PF02446: 4-alpha-glucanotransferase, PF00686: Starch binding domain; contains a non-consensus AT-AC intron between at intron 5
aCL1001Contig1	C05074B08,C18012D06,IC0AAA49DB10,IC0AAA17DB11,IC0AAA82DE12,IC0AAA98DF04,IC0AAA27BD08,IC0AAA6BB01,IC0AAA20DE05,IC0AAA33BF12	no	T12C24.29	AT1G12760	zinc finger (C3HC4-type RING finger) family protein [Arabidopsis thaliana] (TAIR:At1g63170.1); similar to putative RES protein [Oryza sativa (japonica cultivar-group)] (GB:XP_477996.1); contains InterPro domain Zn-finger, RING (InterPro:IPR001841)
aCL1005Contig2	KN0AAA3DA01,C18025A02,C04018G02,C05001F04,IC0AAA75AD04,IC0AAA53DA10,IC0AAA5DC04,IC0AAA91DG05,IC0AAA23CF09,IC0AAA61DD01,KN0AAQ13YL05,IC0AAA60BE10,IC0AAA83DB08	no	Protein phosphatase-2c, putative	AT3G17090	protein phosphatase 2C family protein / PP2C family protein, similar to Ser/Thr protein phosphatase 2C (PP2C6) (GI:15020818) (Arabidopsis thaliana); similar to protein phosphatase 2C (GI:3608412) (Mesembryanthemum crystallinum); contains Pfam PF00481 : Protein phosphatase 2C domain;
aCL1025Contig1	C31405C11,C18014H06,C18014H09,C18011F03,C02015A03,C02025A04,KN0AAL2DA07,KN0AAL3CC05,C20009A01,C05057H08,C08025D09,C34205H08,C06012E10,KN0AAP2YK18,KN0AAP4YH21	no	60S ribosomal protein L18a	AT2G34480	60S ribosomal protein L18A (RPL18aB)
aCL1027Contig2	C31009C08,C32003F08,C05074H06,C18001F02,C06015B10,C04010C03,C34109A01,C34105A09,C06020G02,C07007C05,C31702C02,C31703H09,KN0AAP13YN18,KN0AAP7YD08	no	Small heat shock protein	AT4G27670	25.3 kDa small heat shock protein, chloroplast precursor (HSP25.3-P), identical to small heat shock protein, chloroplast precursor SP:P31170 from (Arabidopsis thaliana); identified in Scharf, K-D., et al,Cell Stress & Chaperones (2001) 6: 225-237.
aCL1052Contig1	KN0AAB2DF03,C18024F07,C06003A08,C06005F10,IC0AAA64AG04,IC0AAA41AC02,IC0AAA23BB05,IC0AAA37BF09,IC0AAA32CB06,KN0AAQ6YH17,IC0AAA14DF12,IC0AAA52DF11,IC0AAA42BF08,C03007D10,KN0AAM1AF04	no	Hydroxyphenylpyruvate reductase	AT1G79870	oxidoreductase family protein, contains Pfam profile: PF02826 D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain; similar to glyoxylate reductase from Thermococcus litoralis (gi:13515409)
aCL1083Contig1	C18019E07,IC0AAA22AC06,IC0AAA62AD10,IC0AAA22CE01,IC0AAA42BG12,C32013E09	no	Emb|CAB87778.1	AT5G38220	expressed protein [Arabidopsis thaliana] (TAIR:At1g66900.1); similar to Cgi67 serine protease-like [Oryza sativa (japonica cultivar-group)] (GB:BAD82560.1); contains InterPro domain Esterase/lipase/thioesterase (InterPro:IPR000379)
aCL1084Contig1	C31203G02,C18004G09,C18008D09,C18020E05,C18023C02,C18023H09,C18024D01,IC0AAA49AC04,C03003D11,C08032A12,C08009E04,C06020E06,C06054A05	no	CPRD2 protein	AT4G20820	FAD-binding domain-containing protein, similar to SP:P30986 reticuline oxidase precursor (Berberine-bridge-forming enzyme) (BBE) (Tetrahydroprotoberberine synthase) (Eschscholzia californica); contains PF01565 FAD binding domain
aCL1098Contig1	C31009F10,C21001D01,C18014F05,C07009F03,C07012C05,C01019G01	no	no_annotation_available	no_similar_Arabidopsis_protein	
aCL1098Contig2	C21001E01,C18017B10,C18017H05,C16018H01,KN0AAM1DH02,KN0AAM2AE08,C07007A12,C07007D02	no	no_annotation_available	no_similar_Arabidopsis_protein	
aCL10Contig2	C31301A11,C31301C01,C31301C04,C31301E06,C31301G11,C31302A08,C31302G09,C31302H09,C31303C10,C31304D04,C31305A03,C31305B06,C31305F11,C31305G11,C18007A03,C16014A02,C05057D09	no	Chitinase precursor	AT3G12500	basic endochitinase, identical to basic endochitinase precursor SP:P19171 from (Arabidopsis thaliana)
aCL10Contig7	KN0AAA3BH05,KN0AAB2BB05,KN0AAB2AD09,C31202C06,C31403F10,C31403H08,C31404D11,C31401F06,C05073B04,C05076D12,C18010C06,C18013A11,C18013E10,C02015E05,C08036F07,C34001G04,C34005C05,C34007B05,C34010H11,C34106C08,C34202C02,KN0AAP8YG08,KN0AAP8YP14	no	Acidic class I chitinase	AT3G12500	basic endochitinase, identical to basic endochitinase precursor SP:P19171 from (Arabidopsis thaliana)
aCL10Contig9	C31008G01,C31102F10,KN0AAA3AG11,KN0AAB2BA06,KN0AAB2CE06,KN0AAB1AF12,KN0AAB1AG06,KN0AAB1BG05,KN0AAB3AD08,KN0AAB3BC12,KN0AAB1DE08,C31402C09,C31403C11,C31403E08,C31404D01,C31404E12,C31404F03,C31404F07,C31404F11,C31405D04,C31401H04,C05075H08,C18014C02,C06011C06,C06011F08,C06051C04,C19001C08,IC0AAA18DG12,IC0AAA85DA08,IC0AAA14AD03,IC0AAA76DD11,IC0AAA61AD09,IC0AAA88AB07,IC0AAA90CF07,C03004D06,KN0AAH1AB11,KN0AAH1BC01,KN0AAH1BE01,C08033H10,C34003D07,C34004B02,C34108B01,C34202B03,C32011B10,C07010C10,C07012G12,C31802G08,C31803F02,KN0AAP3YC23,KN0AAP11YK09,KN0AAP10YP18,C01013B09	no	Chitinase precursor	AT3G12500	basic endochitinase, identical to basic endochitinase precursor SP:P19171 from (Arabidopsis thaliana)
aCL1102Contig1	C31008H04,C31102G08,C31103E10,C31104A11,C18013A10,C18013H02,C18014H04,IC0AAA80DF06,IC0AAA89BH08,IC0AAA72AE07,KN0AAQ1YH16,IC0AAA18BB08,IC0AAA67AF02,C31708D03,C31710H02	no	Asparagine synthetase	AT3G47340	asparagine synthetase 1 (glutamine-hydrolyzing) / glutamine-dependent asparagine synthetase 1 (ASN1), identical to SP:P49078 Asparagine synthetase (glutamine-hydrolyzing) (EC 6.3.5.4) (Glutamine- dependent asparagine synthetase) {Arabidopsis thaliana}
aCL1103Contig1	C21002H01,C18013E01,C18014B12,C18004A04,C18004D07,C18004H07,C18011E03,C18018B04,C18018C10,C18019H10,C04015C05,IC0AAA23AG04,KN0AAM2DH03,KN0AAM3AH04,KN0AAP11YB05	no	OSJNBa0089K21.6 protein	AT5G23810	amino acid transporter family protein, similar to amino acid carrier (Ricinus communis) GI:3293031; contains Pfam profile PF01490: Transmembrane amino acid transporter protein
aCL1104Contig1	C18024C04,KN0AAP12YO14,C01017G05	no	F20P5.12 protein	AT1G70160	expressed protein, similar to hypothetical protein GI:4455225 from (Arabidopsis thaliana)
aCL110Contig1	C31202B07,C18017H07,KN0AAN3AB04,KN0AAN2AD03,C06013D02,C04032G09,C04033C04,C19008A12,C19009A08,C19009D10,C19009D11,C05002C10,C05004D07,C07008C01,C05069F08,C05069G08,C06004B06,C06008E05,KN0AAP8YN07	no	Glutathione S-transferase 2	AT1G10360	glutathione S-transferase, putative, similar to glutathione S-transferase (sp:Q03666:GTX4_TOBAC); similar to EST gb:H36275 gb:AB039930.
aCL110Contig2	C31103H10,C18008E07,KN0AAN3CH06,C04033B01,C19002C07,C32102D08,C06022B06,C31707E08	no	Glutathione S-transferase	AT1G10360	glutathione S-transferase, putative, similar to glutathione S-transferase (sp:Q03666:GTX4_TOBAC); similar to EST gb:H36275 gb:AB039930.
aCL1112Contig1	C18006E06,C18008C07,C18019B05,C18025G12	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aCL1115Contig2	C31003A05,C18025B01,C18025B02,IC0AAA78AH04,IC0AAA81BH04,C08033C09,C34104H10	no	AT4g26270/T25K17_80	AT5G56630	phosphofructokinase family protein, similar to phosphofructokinase (Amycolatopsis methanolica) GI:17432243; contains Pfam profile PF00365: Phosphofructokinase
aCL1120Contig1	C16001B10,C18017E07,IC0AAA63CF10,IC0AAA95DD10,KN0AAL3AF12,C03004G02,C20006E05,C20010E09,C08038B02,KN0AAM1DA09,KN0AAM1AA12,KN0AAM1BC08,KN0AAP6YB07	no	UPI000065E2E5; Homolog of Homo sapiens "Histone 1, H2ai	AT5G59690	histone H4, identical to histone H4 from Lycopersicon esculentum GI:297150, Lolium temulentum SP:P02308, Acropora formosa GI:455652, Citrus jambhiri GI:16797797
aCL1126Contig1	KN0AAA1AH04,C31202A06,C18011B02,C04033F10,C04019H01,KN0AAL1AE06,KN0AAL1AF02,C08031G03,C34205D11,C06056F03,C06056H01,KN0AAP11YB20,KN0AAP11YH06	no	Adenine phosphoribosyltransferase-like	AT1G27450	adenine phosphoribosyltransferase 1 (APT1), nearly identical to SP:P31166 Adenine phosphoribosyltransferase 1 (EC 2.4.2.7) (APRT) {Arabidopsis thaliana}
aCL1136Contig2	C31107D02,KN0AAB3AG02,C18001A09,C18007E11,C04015E08,KN0AAL3CF12,C31703A05	no	DnaJ-like protein	AT4G36040	DNAJ heat shock N-terminal domain-containing protein (J11), identical to dnaJ heat shock protein J11 (Arabidopsis thaliana) GI:9843641; contains Pfam profile PF00226 DnaJ domain
aCL1136Contig3	C18018E04,IC0AAA85DG11,KN0AAQ11YI15,IC0AAA28DF05,IC0AAA1CB06,KN0AAP8YO18	no	Putative beta-glycosidase	AT3G06510	glycosyl hydrolase family 1 protein, similar to Beta-galactosidase (SP:P22498) (Sulfolobus solfataricus}; almost identical to beta-glucosidase GB:AAF23823 GI:6685165 from (Arabidopsis thaliana)
aCL1150Contig1	C31004D01,C18005G10,C18016H09,C18022B10,IC0AAA72BA05,C34007B03,C32009G09,C31701F12,C31802D05,C31803F05,C31803G09,KN0AAP13YO05,KN0AAP7YP04,KN0AAP6YG13	no	ABA-responsive protein-like	AT5G13200	GRAM domain-containing protein / ABA-responsive protein-related, similar to ABA-responsive protein (Hordeum vulgare) GI:4103635; contains Pfam profile PF02893: GRAM domain
aCL1172Contig1	C18020A04,C18021F08,IC0AAA64CH02,IC0AAA36BB04,IC0AAA4DH09,IC0AAA40DA01,IC0AAA21AF02,IC0AAA13DB11,KN0AAP7YK11	no	Erwinia induced protein 1	AT2G17120	peptidoglycan-binding LysM domain-containing protein, contains Pfam profile PF01476: LysM domain; supporting cDNA gi:16226688:gb:AF428464.1:AF428464
aCL1180Contig1	KN0AAK2AB11,C18010H12,C02002C02,KN0AAP11YJ01,KN0AAP7YP14,KN0AAP9YD03	no	Copper/zinc superoxide dismutase	AT1G08830	superoxide dismutase (Cu-Zn) (SODCC) / copper/zinc superoxide dismutase (CSD1), identical to SWISS-PROT: P24704
aCL1184Contig1	C18002D03,KN0AAL1AD07	no	Translation initiation factor-like protein	AT5G54940	eukaryotic translation initiation factor SUI1, putative, similar to SP:P32911 Protein translation factor SUI1 {Saccharomyces cerevisiae}; contains Pfam profile PF01253: Translation initiation factor SUI1
aCL118Contig1	C31101B03,C31101C12,C31101H06,C31103H03,C31105E11,C31200C06,C18024B06,C02011B08,C02017E10,IC0AAA12CD10,IC0AAA40DB01,IC0AAA47CC11,KN0AAL1CF01,C08033G06,C08021G09,C08027G05,C34002E03,C34105H05,C32005G06,C32008F01,C32014B04,C32103F06,C06002A03,C06010C03,C07010E05,KN0AAP7YK05	no	GTP-binding nuclear protein Ran-1	AT5G55190	Ras-related GTP-binding protein (RAN3), identical to atran3 (Arabidopsis thaliana) GI:2058280
aCL1197Contig2	KN0AAK2CD07,C31301C07,C18010F06,C18023C03,C06007A06,C02010F05,KN0AAL1CD07,KN0AAL2BA03,C08022B06,C34104B09,C06014E09,KN0AAP5YL20	no	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3	AT4G14710	iron-deficiency-responsive protein, putative, strong similarity to iron-deficiency induced gene (Hordeum vulgare) GI:14522834; contains Pfam profile PF03079: ARD/ARD' family
aCL119Contig3	KN0AAA1DF03,C18020E01,IC0AAA76CA11	no	Ethylene-induced esterase	AT2G23620	esterase, putative, similar to ethylene-induced esterase (Citrus sinensis) GI:14279437, polyneuridine aldehyde esterase (Rauvolfia serpentina) GI:6651393; contains Pfam profile PF00561: hydrolase, alpha/beta fold family
aCL11Contig1	C31001D10,C31002B06,C31002D12,C31002H12,C31003D05,C31004G09,C31004G10,C31005H01,C31006A05,C31006C11,C31006G08,C31006H02,C31007G02,C31008A01,C31010D05,KN0AAB1CE07,KN0AAI2DF05,KN0AAI1CA11,KN0AAI1DH03,C32001A11,C05073H05,C18001C09,C18001D05,C18002D11,C18002G11,C18003H05,C18010A10,C18010B11,C18013G05,C18013G08,C18017D07,C18017D08,C02009C08,C02010H07,C02013C09,C02018F12,C02026E10,KN0AAQ1YN08,KN0AAL2BF05,C07002B02,C07002B08,C07002D12,C20003C07,C20003D10,C20010A10,C05070B01,C05070E11,C05057C07,C05057G05,KN0AAH2CE03,C32005A02,C32005D05,C32005D06,C32005D08,C32005E04,C32005E10,C32005H05,C32006C03,C32006C05,C32006E04,C32006G12,C32006H08,C32006H12,C32007A07,C32007A09,C32007B01,C32007B07,C32007D09,C32007F12,C32007H01,C32008B11,C32008C02,C32008C12,C32008E05,C32008F10,C32008G02,C32008H05,C32008H06,C32009B08,C32009C04,C32009D06,C32009E05,C32009E10,C32009E11,C32009G07,C32009H03,C32010A05,C32010A09,C32010A11,C32010D02,C32010E03,C32010F09,C32010G04,C32010G07,C32010H04,C32010H05,C32011A02,C32011B02,C32011B12,C32011E09,C32011F01,C32011H01,C32011H12,C32012E10,C32012G11,C32013B07,C32014B11,C32014D06,C32014G06,C32104G10,C31705A05,C31707G07,KN0AAP1YN02,KN0AAP1YP04,KN0AAP8YH15,KN0AAP3YP24,KN0AAP5YD19,KN0AAP5YF18,KN0AAP5YL08,KN0AAP13YI03,KN0AAP13YO09,KN0AAP10YB06,KN0AAP10YD04,KN0AAP7YJ06,KN0AAP2YI14,KN0AAP10YF14,KN0AAP7YL09,KN0AAP10YI02,KN0AAP7YO05,KN0AAP7YP07,KN0AAP2YO05,KN0AAP7YP17,KN0AAP10YL06,KN0AAP10YP11,KN0AAP9YG12,KN0AAP12YE09,KN0AAP12YE19,KN0AAP4YJ04,KN0AAP4YL05,KN0AAP12YM03,KN0AAP6YC01,KN0AAP6YE07,KN0AAP12YP11,KN0AAP6YF12,KN0AAP6YL04,C01011D02,C01011F11,C01017C04,C01002E03,C01004H09,C01005E12	no	Lectin-related protein	AT5G06740	lectin protein kinase family protein, contains Legume lectins beta-chain signature, PROSITE:PS00307 and Serine/Threonine protein kinases active-site signature, PROSITE:PS00108
aCL11Contig2	C31001A08,C31001D01,C31003C06,C31005B01,C31006B07,C31007F03,C31008F02,C31009H09,KN0AAB3CF10,C05065B03,C05065B04,C05068A08,C05068A12,C05073B05,C05074E10,C05074F09,C05075C12,C05075F11,C05076B11,C05076G06,C18001C07,C18001F06,C18002B06,C18002B10,C18002D06,C18002F10,C18003E02,C18007B02,C18013C01,C18017E08,C34110G12,C32010C03	no	Lectin-related protein	AT5G03140	lectin protein kinase family protein, contains Pfam domains, PF00138: Legume lectins alpha domain, PF00139: Legume lectins beta domain and PF00069: Protein kinase domain
aCL11Contig4	KN0AAB3AB05,KN0AAI2BF10,C18001B12,C18007E05	no	Lectin-related protein	AT5G03140	lectin protein kinase family protein, contains Pfam domains, PF00138: Legume lectins alpha domain, PF00139: Legume lectins beta domain and PF00069: Protein kinase domain
aCL1207Contig1	C18017D11,IC0AAA89AC07,IC0AAA84BA12,IC0AAA87CF03,KN0AAQ4YM10,IC0AAA93DH12,KN0AAQ8YA05,IC0AAA81DE03,KN0AAQ3YN22,IC0AAA59DH01,IC0AAA85CB12,C34202E10,KN0AAM1DF02,KN0AAM3DA11	no	Putative chloroplast RNA binding protein	AT2G35410	33 kDa ribonucleoprotein, chloroplast, putative / RNA-binding protein cp33, putative, similar to SP:P19684 33 kDa ribonucleoprotein, chloroplast precursor {Nicotiana sylvestris}; contains InterPro entry IPR000504: RNA-binding region RNP-1 (RNA recognition motif) (RRM)
aCL1224Contig3	KN0AAI1AB07,C18019F06,IC0AAA11BA10	no	60S ribosomal protein L27	AT4G15000	60S ribosomal protein L27 (RPL27C)
